# Copyright (c) 1966-2023 Johns Hopkins University. Use of this file adheres to the terms specified at https://omim.org/help/agreement
# Generated: 2023-08-27
# This file provides links between the genes in OMIM and other gene identifiers.
# THIS IS NOT A TABLE OF GENE-PHENOTYPE RELATIONSHIPS.
# MIM Number	MIM Entry Type (see FAQ 1.3 at https://omim.org/help/faq)	Entrez Gene ID (NCBI)	Approved Gene Symbol (HGNC)	Ensembl Gene ID (Ensembl)					
615056	gene	92591	ASB16	ENSG00000161664
615057	moved/removed			
615058	phenotype			
615059	phenotype			
615060	gene	10648	SCGB1D1	ENSG00000168515
615061	gene	10647	SCGB1D2	ENSG00000124935
615062	gene	404552	SCGB1D4	ENSG00000197745
615063	gene	284402	SCGB2B2	ENSG00000205209
615064	gene	123096	SLC25A29	ENSG00000197119
615065	phenotype			
615066	phenotype			
615067	phenotype			
615068	gene	57724	EPG5	ENSG00000152223
615069	gene	121504	H4C16	ENSG00000197837
615070	gene	693175	MIR590	ENSG00000207741
615071	phenotype			
615072	phenotype			
615073	phenotype			
615074	phenotype			
615075	phenotype			
615076	gene	92667	MGME1	ENSG00000125871
615077	gene	23329	TBC1D30	ENSG00000111490
615078	gene	51026	GOLT1B	ENSG00000111711
615079	gene	55726	INTS13	ENSG00000064102
615080	phenotype	101290498		
615081	phenotype			
615082	phenotype			
615083	phenotype			
615084	phenotype			
615085	phenotype			
615086	gene	283254	HARBI1	ENSG00000180423
615087	moved/removed			
615088	gene	9776	ATG13	ENSG00000175224
615089	gene	60673	ATG101	ENSG00000123395
615090	gene	101180976	IFNL4	ENSG00000272395
615091	phenotype			
615092	phenotype			
615093	gene	54742	LY6K	ENSG00000160886
615094	gene	283571	PROX2	ENSG00000119608
615095	phenotype			
615096	gene	406999	MIR217	ENSG00000207548
615097	gene	6540	SLC6A13	ENSG00000010379
615098	gene	23331	TTC28	ENSG00000100154
615099	gene	151176	ERFE	ENSG00000178752
615100	gene	55917	CTTNBP2NL	ENSG00000143079
615101	gene	7280	TUBB2A	ENSG00000137267
615102	phenotype			
615103	gene	84617	TUBB6	ENSG00000176014
615104	gene	57701	NCKAP5L	ENSG00000167566
615105	gene	84245	MRI1	ENSG00000037757
615106	moved/removed			
615107	phenotype			
615108	phenotype			
615109	phenotype			
615110	gene	348793	WDR53	ENSG00000185798
615111	gene	79961	DENND2D	ENSG00000162777
